"company_name","email","source_url","category","search_query","timestamp"
"Contact Us","officeemailbaggageservices@dnata.comtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","sqin_taxinvoice@singaporeair.com.sg","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","officeemailamd_baggage@singaporeair.com.sgoperating","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","servicesemailamm_reservations@singaporeair.com.sgtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","ams.mybag@swissport.comtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","servicesemailsia@asianaviation.cotelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","officeemailakl.baggage.services@menziesaviation.comtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","addressayan_zeynalova@singaporeair.com.sgoffice","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","officeemailbaggage_bkk@singaporeair.com.sgtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","servicesemailbey_reservations@singaporeair.com.sgtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","addresssingaporeairlines@talaviation.rstelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","officeemailblr_traffic@singaporeair.com.sgoperating","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","addressinformace@discovertheworld.biztelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","officeemailsq.bne.baggage@swissport.com.autelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","officee-mailbaggagebrupax@securitas.betelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","addressmonica_sane@singaporeair.com.sgtelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.222Z"
"Contact Us","addresssingaporeair@tensi.hutelephone","https://www.singaporeair.com/en_UK/sg/contact-us/","Airlines","airlines Singapore contact","2025-07-18T09:11:47.223Z"
